id,callsign,tgid
648,Zimbabwe ,648
645,Zambia ,645
421,Yemen ,421
91,Worldwide,91
910,German Language,910
913,English Language,913
914,Spanish Language,914
915,Portuguese Language,915
916,Italian Language,916
919,Polish Language,919
922,Dutch Language,922
924,Swedish Language,924
927,Nordic Language,927
928,Russian Language,928
937,French Language FRANCOPHONIE,937
940,Arabic Language,940
941,Mandarin Language,941
942,Hindi Language,942
943,Bengali Language,943
944,Japanese Language,944
945,Indonesian Language,945
950,Firefighters of the world,950
9541,RadHisTec,9541
973,SOTA ,973
907,JOTA JOTI YOTA,907
9071,Tac 1  JOTA – YOTA,9071
9072,Tac 2  JOTA – YOTA,9072
9073,Tac 3  JOTA – YOTA,9073
9074,Tac 4  JOTA – YOTA,9074
9075,Tac 5  JOTA – YOTA,9075
9076,Tac 6  JOTA – YOTA,9076
9077,Tac 7  JOTA – YOTA,9077
9078,Tac 8  JOTA – YOTA,9078
969,Worldwide PRIDE (Allstar 56108),969
9112,EU EMCOM EUROPA ,9112
98002,Hamfurs,98002
953,Oceania Region,953
16777215,All Call,16777215
452,Vietnam ,452
734,MCC VENEZUELA - YSF 86374,734
7341,(YV1) Falcon-Trujillo-Zulia,7341
73411,Red Vzlana de Rad.Afic.YV5RVR,73411
7342,(YV2) Barinas-Merida-Tachira,7342
7343,(YV3) Lara-Portuguesa-Yaracuy,7343
7344,(YV4) Aragua-Carabobo-Cojedes,7344
7345,(YV5) CCS/D.C.-Guarico-Miranda-Dep.Fed.,7345
7346,(YV6) Anzoategui-Bolivar,7346
7347,(YV7) Nueva esparta-Sucre,7347
7348,(YV8) Monagas-Delta Amacuro,7348
7349,(YV9) Apure-Amazonas,7349
734911,EMCOMM YV,734911
734400,Rescue & FirstAid Venezuela,734400
73440,Net Dig. Venezuela,73440
541,Vanuatu ,541
434,Uzbekistan ,434
702,Bluffton Digital link,702
3100,USA Nationwide,3100
31001,N. A. TAC 1,31001
31002,N. A. TAC 2,31002
31003,N. A. TAC 3,31003
31004,N. A. TAC 4,31004
31005,N. A. TAC 5,31005
31006,N. A. TAC 6,31006
31007,N. A. TAC 7,31007
31008,N. A. TAC 8,31008
31009,N. A. TAC 9,31009
3101,Alabama,3101
310188,KC2ABV REPEATER SYSTEM,310188
3102,Alaska,3102
3104,Arizona,3104
3105,Arkansas,3105
3106,California,3106
31060,California Link,31060
31061,CA TAC,31061
31068,NorCal,31068
3108,Colorado,3108
3109,Connecticut,3109
3110,Delaware,3110
3111,District of Columbia,3111
3112,Florida,3112
3113,Georgia,3113
3115,Hawai,3115
3116,Idaho,3116
3117,Illinois,3117
3118,Indiana,3118
3119,Iowa,3119
3120,Kansas,3120
3121,Kentucky,3121
3122,Louisiana,3122
3123,Maine,3123
3124,Maryland,3124
3125,Massachusetts,3125
3126,Michigan,3126
31260,ZOMBIE Alert USA / XLX240B ,31260
3127,Minnesota,3127
3128,Mississippi,3128
3129,Missouri,3129
3130,Montana,3130
3131,Nebraska,3131
3132,Nevada,3132
3133,New Hampshire,3133
3134,New Jersey,3134
3135,New Mexico,3135
3136,New York,3136
3137,North Carolina,3137
31373,East NC,31373
31377,OBX,31377
31379,NC TAC,31379
3138,North Dakota,3138
3139,Ohio,3139
3140,Oklahoma,3140
3141,Oregon,3141
3142,Pennsylvania,3142
3143,Puerto Rico,3143
3144,Rhode Island,3144
3145,South Carolina,3145
3146,South Dakota,3146
3147,Tennessee,3147
3148,Texas,3148
3149,Utah,3149
3150,Vermont,3150
3151,Virginia,3151
3152,Virgin Islands,3152
3153,Washington,3153
3154,West Virginia,3154
3155,Wisconsin,3155
3156,Wyoming,3156
3160,Crossroads-USA Reflector,3160
31601,NC4ES Chat 1,31601
31602,NC4ES Chat 2,31602
31603,NC4ES AUXCOMM,31603
31604,NC4ES RF Link,31604
31605,NC4ES EHPC,31605
31611,XPR Network,31611
3162,USA Latinos,3162
3165,USA SOUTHEAST,3165
316501,RF RADIO LINKS,316501
3166,DVSwitch,3166
316601,YSF16512 US-WA-PNW,316601
310001,ECHO EAST,310001
31120,Florida Keys ,31120
31378,Piedmont Triad,31378
310441,(WNY-DIGITAL) P25-31044 XLX-891C ICOM-G3,310441
31360,NY-NJ-PA TriState,31360
31361,Upstate-NY,31361
31362,NY-Metro,31362
31376,Southern Tier NY,31376
31369,Monroe County,31369
31341,South Jersey,31341
31342,North Jersey,31342
310040,WNY-DIGITAL TAC1,310040
310096,WNY-DIGITAL TAC2,310096
310393,WNY-DIGITAL TAC3,310393
310784,WNY-DIGITAL TAC4,310784
311090,WNY-DIGITAL TAC5,311090
311419,WNY-DIGITAL TAC6,311419
311421,WNY-DIGITAL TAC7,311421
312079,WNY-DIGITAL TAC8,312079
310014,San Diego,310014
31177,WESDIG Western US Digital Group,31177
31069,Bay Area Digital - California,31069
748,Uruguay,748
7487,Uruguay Link,7487
74800,EMERGENCY,74800
74801,Montevideo,74801
74802,Montevideo,74802
74803,Artigas,74803
74804,Canelones,74804
74805,Cerro Largo,74805
74806,Colonia,74806
74807,Durazno,74807
74808,Flores,74808
74809,Florida,74809
74810,Lavalleja,74810
74811,Maldonado,74811
74812,Paysandú,74812
74813,Rio Negro,74813
74814,Rivera,74814
74815,Rocha,74815
74816,Salto,74816
74817,San José,74817
74818,Soriano,74818
74819,Tacuarembó,74819
74820,Treinta y Tres,74820
74830,CXUA1,74830
74840,CXUA2,74840
74850,CXUA3,74850
74860,CXUA4,74860
